"id","cod_SIMS","nombre","domicilio","localidad","telefono","email","internacion","dependencia","regimen","cod_municipio","municipio","departamento","nodo","lat","lon"
571,"02800352","CS 17 De Octubre","Sivori 1005","Villa Constitución","03461-15354692","17deoctubre.centrodesalud@gmail.com","No","Municipal","Municipal/Comunal",0056,"Villa Constitución","Constitución","Rosario","-33.254290592783","-60.306403791704"
210,"08403363","CS 17 De Octubre","Corrientes 146","Villa Gobernador Gálvez","0341/4983428",,"No","Provincial","Provincial- Decreto Nacional 939",0217,"Villa Gobernador Gálvez","Rosario","Rosario","-33.00975","-60.60625"
601,"11900572","CS 2 De Abril","Sorrequieta 165 y calle 4","San Lorenzo",,,"No","Municipal","Municipal/Comunal",0301,"San Lorenzo","San Lorenzo","Rosario","-32.77772816743","-60.724090597639"
736,"11201054","CS 24 De Setiembre","Bv. Pellegrini y Reconquista","San Justo",,,"No","Municipal","Municipal/Comunal",0259,"San Justo","San Justo","Santa Fe","-30.79489","-60.58681"
49,"05600290","CS 25 De Mayo","Audano 653","Cañada De Gómez","03471-421715","cs25demayocdg@hotmail.com","No","Provincial","Provincial- Decreto Nacional 939",0126,"Cañada de Gómez","Iriondo","Rosario","-32.815569637928","-61.384075549015"
1298,"08423154","CS 7 De Abril","Urquiza 2906","Rosario","0341-4392600","cs7a@hotmail.com.ar","No","Nacional","Municipal/Comunal",0210,"Rosario","Rosario","Rosario","-32.938527777778","-60.662027777778"
515,"04200018","CS Aarón Castellanos","M Castellano de Anchorena s/n","Aarón Castellanos (Est. Castellanos)","03382 498028","aaronsalud@hotmail.com","No","Provincial","Provincial- Decreto Nacional 939",2574,"Aarón Castellanos (Est. Castellanos)","General López","Venado Tuerto","-34.33225","-62.37519"
122,"06309364","CS Abasto","Diagonal Avipones 12500","Santa Fe","0342- 4579133 ctx 9133",,"No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.561066670","-60.742316670"
1317,"06309856","CS Adelina Este","Diagonal 12 y 71","Sauce Viejo","0342 - 155119981","csadelinaeste@hotmail.com.ar","No","Municipal","Municipal/Comunal",3029,"Sauce Viejo","La Capital","Santa Fe","-31.701566667","-60.762866667"
93,"06301504","CS Adelina Oeste","Los Paraísos y Corrientes","Sauce Viejo","( 0342) 499-6210","adelinaoeste@hotmail.com","No","Municipal","Municipal/Comunal",3029,"Sauce Viejo","La Capital","Santa Fe","-31.694950000","-60.788316667"
238,"09100453","CS Aguara Grande","Zona urbana","Aguará Grande","03408-42272218(casa part.)",,"No","Provincial","Provincial- Decreto Nacional 939",3477,"Aguará Grande","San Cristóbal","Rafaela","-30.1167","-60.8833"
178,"08401662","CS Albarellos","Comercio 235","Albarellos","03402/494034","comalbarellos@coopvgg.com.ar","No","Municipal","SAMCo. Ley Provincial 63/12",3358,"Albarellos","Rosario","Rosario","-33.23804","-60.63846"
116,"06302357","CS Alberdi","A. Casanello 1515","Santa Fe","0342-4579102 ctx 9102",,"No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.611621281289","-60.683605284182"
410,"01400334","CS Alberdi","Washington 2903","Casilda","03464-423047",,"No","Municipal","Municipal/Comunal",0028,"Casilda","Caseros","Rosario","-33.040662978363","-61.177710177462"
315,"11900190","CS Aldao","Lisandro de La Torre 200","Aldao","03476-482037/6409","adrianasgrosso@hotmail.com","No","Provincial","Provincial- Decreto Nacional 939",3981,"Aldao","San Lorenzo","Rosario","-32.70581","-60.81527"
895,"08418636","CS Alfonsina Storni","Bermúdez 6390","Rosario","0341-4729677","centroalfonsinastorni@hotmail.com","No","Provincial","Provincial- Decreto Nacional 939",0210,"Rosario","Rosario","Rosario","-33.010667","-60.642222"
421,"06301814","CS Alicia Moreau De Justo","J.Civil y Valdez (Libertad)","Santo Tomé","(0342) 475-3463",,"No","Provincial","Provincial- Decreto Nacional 939",0154,"Santo Tomé","La Capital","Santa Fe","-31.654116667","-60.832483333"
685,"08400429","CS Alicia Moreau De Justo","Calle 1333 NRO 3040","Rosario","(0341) 4226162",,"No","Municipal","Municipal/Comunal",0210,"Rosario","Rosario","Rosario","-32.885111","-60.726417"
54,"06300010","CS Alto Verde","Manzana 2 Alto Verde","Santa Fe","0342-4571978 ctx 1978","gerardoroldan@yahoo.com.ar","No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.65937","-60.69986"
120,"06309288","CS Altos De Nogueras","Lamadrid 10590","Santa Fe","0342-4800311 (ctrex 4311)",,"No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.566366670","-60.704783330"
115,"06301997","CS Altos Del Valle","Los Azucenas 10350","Santa Fe","0342-4579217 ctx 9217",,"No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.573196554249","-60.684542581215"
544,"04200735","CS Amenábar","Pellegrini 840","Amenábar","03382/492071 centrex 6126","samcoamenabar@hotmail.com","No","Municipal","SAMCo. Ley Provincial 63/12",2581,"Amenábar","General López","Venado Tuerto","-34.13501","-62.42302"
376,"05600010","CS Andino","Pellegrini 911","Pueblo Andino","03476/496257","samcoandino@hotmail.com","No","Municipal","SAMCo. Ley Provincial 63/12",2924,"Pueblo Andino","Iriondo","Rosario","-32.67171","-60.88001"
539,"04200476","CS Ángel Bulgheroni","Santiago del Estero 52","Rufino","03382/428007",,"No","Provincial","Dep. de SAMCo.",0070,"Rufino","General López","Venado Tuerto","-34.25715","-62.70992"
118,"06302381","CS Ángel Gallardo","Dr. Ángel Gallardo 1700","Ángel Gallardo","0342-4904860 Centrex 4460",,"No","Provincial","Provincial- Decreto Nacional 939",0063,"Firmat","La Capital","Santa Fe","-31.554316667","-60.679183333"
444,"02100237","CS Angélica","Lisandro de la Torre 137","Angélica","03492/487534","samcoangelica@hotmail.com","No","Municipal","SAMCo. Ley Provincial 63/12",2112,"Angélica","Castellanos","Rafaela","-31.550129619658","-61.543330621364"
165,"08400038","CS Arminda","Belgrano 647","Arminda","03469 - 493075","comunaarminda@ri.com.ar","No","Municipal","SAMCo. Ley Provincial 63/12",3379,"Arminda","Rosario","Rosario","-33.26364","-60.96625"
263,"10500015","CS Arocena","Dr. Rovere 372","Arocena","03466/495138",,"No","Provincial","SAMCo. Ley Provincial 63/12",3722,"Arocena","San Jerónimo","Santa Fe","-32.07786","-60.97612"
55,"06300028","CS Arroyo Aguiar","Av. San Martín 46","Arroyo Aguiar","0342/4572544, centrex: 2544","enfermeriaarroyoaguiar@hotmail.com","No","Municipal","SAMCo. Ley Provincial 63/12",2952,"Arroyo Aguiar","La Capital","Santa Fe","-31.430016667","-60.667683333"
16,"04900401","CS Arroyo Ceibal","Zona urbana","Arroyo Ceibal","03482/497141",,"No","Provincial","Provincial- Decreto Nacional 939",2763,"Arroyo Ceibal","General Obligado","Reconquista","-28.72353","-59.47872"
413,"04200727","CS Asistencia Publica Municipal","Brown 478","Venado Tuerto","03462-436374","mvtsalud@yahoo.com.ar","No","Municipal","Municipal/Comunal",0077,"Venado Tuerto","General López","Venado Tuerto","-33.738705828346","-61.967743274015"
646,"08404372","CS Asistencial A La Comunidad","Esmeralda 2363","Rosario","0341-4808582",,"No","Provincial","Municipal/Comunal",0210,"Rosario","Rosario","Rosario","-32.967861111111","-60.626083333333"
445,"02100245","CS Ataliva","Dorrego 3100","Ataliva","03493/491057",,"No","Municipal","SAMCo. Ley Provincial 63/12",2119,"Ataliva","Castellanos","Rafaela","-30.99554","-61.43575"
365,"02100679","CS Aurelia","Aurelia entre Sgo.del Estero y Avda. Bs.","Aurelia","03492-488032",,"No","Provincial","Provincial- Decreto Nacional 939",2126,"Aurelia","Castellanos","Rafaela","-31.42066","-61.42443"
556,"04900109","CS Avellaneda","Calle 16 340","Avellaneda","03482/481952","samcoavd@trcnet.com.ar","No","Provincial","SAMCo. Ley Provincial 63/12",0091,"Avellaneda","General Obligado","Reconquista","-29.116043103023","-59.655858746057"
382,"06309389","CS Baradero Sarsotti","Calle Principal s/n","Santa Fe","(0342)4589428 ctx 9428",,"No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.66942","-60.73506"
594,"11900505","CS Barrio 3 De Febrero","Peatonal 2795","San Lorenzo",,,"No","Municipal","Municipal/Comunal",0301,"San Lorenzo","San Lorenzo","Rosario","-32.73151","-60.74843"
484,"02100946","CS Barrio Acapulco y Vera Cruz","Calle 2 esq. 5 ","Frontera",,"samcoacapulco@hotmail.com","No","Provincial","Provincial- Decreto Nacional 939",0035,"Frontera","Castellanos","Rafaela","-31.42071","-62.06029"
112,"06301873","CS Barrio Acería","Matheu 6250","Santa Fe","0342 - 4579101",,"No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.598284649082","-60.668916584328"
397,"04900702","CS Barrio Almafuerte","Almafuerte 475","Reconquista","03482/4614260",,"No","Municipal","Provincial- Decreto Nacional 939",0112,"Reconquista","General Obligado","Reconquista","-29.138177638605","-59.641225662084"
411,"01400342","CS Barrio Barracas","General Bartolomé Mitre 1165","Casilda","03464-427934","dispensariobarracas_yapeyu@hotmail.com","No","Municipal","Municipal/Comunal",0028,"Casilda","Caseros","Rosario","-33.054234099167","-61.162785445019"
62,"06300095","CS Barrio Barranquitas Oeste","Artigas 4100","Santa Fe","0342/4572505, centrex: 2505","csbarranquitasoeste@santafe.gov.ar","No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.620402102265","-60.719818917699"
33,"04900711","CS Barrio Belgrano","Calle 126 Esq. 115","Avellaneda","03482-552033",,"No","Provincial","Dep. de SAMCo.",0091,"Avellaneda","General Obligado","Reconquista","-29.1171","-59.68149"
111,"06301865","CS Barrio Cabal","Pje. Leiva 6859","Santa Fe","0342-4579263 centrex 9263",,"No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.605190834199","-60.691291889611"
282,"10500449","CS Barrio Caima","25 de Mayo s/n","Caima","0342/4900028",,"No","Municipal","Provincial- Decreto Nacional 939",3764,"Desvío Arijón","San Jerónimo","Santa Fe","-31.83314","-60.87194"
389,"06309392","CS Barrio Candioti","Bv. Gálvez 1563 (ex Hosp. de niños)","Santa Fe","0342-4572873- Centrex 2873","csbcandioti@hotmail.com.ar","No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.638063143896","-60.691865117825"
593,"11900491","CS Barrio Capitán Bermúdez","Silverio Córdoba 1660","San Lorenzo",,,"No","Municipal","Municipal/Comunal",0301,"San Lorenzo","San Lorenzo","Rosario","-32.734623706172","-60.745134857992"
386,"06309373","CS Barrio Chalet","Mariano Cabal 3951","Santa Fe","0342-4589420 ctx 9420","cschalet@hotmail.com.ar","No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.661765283739","-60.728937163794"
26,"04900583","CS Barrio Chapero","Roca 2023","Reconquista","03482-438450","capschaperocentro@yahoo.com.ar","No","Provincial","Provincial- Decreto Nacional 939",0112,"Reconquista","General Obligado","Reconquista","-29.15834879307","-59.645661215704"
665,"11900734","CS Barrio Copello","Uruguay 232","Capitán Bermúdez","0341-491-0317",,"No","Municipal","Municipal/Comunal",0266,"Capitán Bermúdez","San Lorenzo","Rosario","-32.823034269089","-60.72678393591"
18,"04900435","CS Barrio El Ombusal Ema Beatriz Cabral","Brown y Chacabuco","Reconquista","0348438434 ctx 9894",,"No","Provincial","Provincial- Decreto Nacional 939",0112,"Reconquista","General Obligado","Reconquista","-29.15241","-59.641"
108,"06301806","CS Barrio El Pozo","Mna. 19, al lado de la Comisaría","Santa Fe","0342-4577008 Centrex 7008",,"No","Municipal","SAMCo. Ley Provincial 63/12",0147,"Santa Fe","La Capital","Santa Fe","-31.635550000","-60.658983330"
669,"11900751","CS Barrio Fátima","Iguazú 1817","Puerto General San Martín","03476-429422",,"No","Municipal","Municipal/Comunal",0287,"Puerto General San Martín","San Lorenzo","Rosario","-32.70688","-60.74497"
903,"11201502","CS Barrio Fátima","Independencia y Calle 72","San Justo","03400-15515707","capsfatimasanjustosf@hotmail.com","No","Provincial","Dep. de SAMCo.",0259,"San Justo","San Justo","Santa Fe","-30.78751","-60.60707"
473,"02100784","CS Barrio Francucci","Calle 54 270","Frontera","03564 438853",,"No","Municipal","Dep. de SAMCo.",0035,"Frontera","Castellanos","Rafaela","-31.422667026284","-62.06016010099"
886,"04902035","CS Barrio Itatí","Calle 8 Entre Calle 3 y 5 Barrio Itatí","Las Toscas","03482 - 15446773","mrdeltin@hotmail.com","No","Municipal","Provincial- Decreto Nacional 939",0098,"Las Toscas","General Obligado","Reconquista","-28.36244","-59.25985"
29,"04900613","CS Barrio Itatí","RP 40 S y Calle 68","Reconquista","03482-15678546",,"No","Provincial","Provincial- Decreto Nacional 939",0112,"Reconquista","General Obligado","Reconquista","-29.15257","-59.67724"
228,"09100241","CS Barrio Juan XXIII","Bv. 25 de Mayo y Estanislao López","San Cristóbal",,,"No","Municipal","Dep. de SAMCo.",0231,"San Cristóbal","San Cristóbal","Rafaela","-30.31611","-61.24391"
4,"04900257","CS Barrio La Cortada","Constituyente y P. Diez","Reconquista","03482- 487168",,"No","Provincial","Provincial- Decreto Nacional 939",0112,"Reconquista","General Obligado","Reconquista","-29.14531","-59.63624"
30,"04900621","CS Barrio La Loma","Bo. Zulema Calle 105","Reconquista","03482-678502",,"No","Provincial","Provincial- Decreto Nacional 939",0112,"Reconquista","General Obligado","Reconquista","-29.18032","-59.66748"
667,"11900726","CS Barrio La Posta","13 de Marzo y Villaguay","Capitán Bermúdez","0341-4912751",,"No","Municipal","Municipal/Comunal",0266,"Capitán Bermúdez","San Lorenzo","Rosario","-32.81786","-60.71281"
603,"11900599","CS Barrio Las Quintas","Oroño s/n","San Lorenzo",,,"No","Municipal","Municipal/Comunal",0301,"San Lorenzo","San Lorenzo","Rosario","-32.72784","-60.76268"
595,"11900513","CS Barrio Leandro N Alem","9 de Julio 1243","San Lorenzo",,,"No","Municipal","Municipal/Comunal",0301,"San Lorenzo","San Lorenzo","Rosario","-32.737366000159","-60.740852552632"
605,"11900289","CS Barrio Los Pinos","Bermejo y Eva Perón","Carcarañá","0341-4943051","dptoinfo@arnet.com.ar","No","Municipal","Municipal/Comunal",0273,"Carcarañá","San Lorenzo","Rosario","-32.85028","-61.15748"
107,"06301792","CS Barrio Los Troncos","Troncoso 8183 Bº Los Troncos","Santa Fe","0342-4579292 ctx 9292",,"No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.581992956547","-60.744977856174"
1302,"03500557","CS Barrio Malabrigo","Los Andes y San Martín","Helvecia","03405/470164,centrex:6220",,"No","Provincial","Provincial- Decreto Nacional 939",2553,"Helvecia","Garay","Santa Fe","-31.09629","-60.08483"
664,"11900602","CS Barrio Mariano Moreno","Iriondo y 25 de Mayo","San Lorenzo",,,"No","Municipal","Municipal/Comunal",0301,"San Lorenzo","San Lorenzo","Rosario","-32.75402","-60.74128"
67,"06300206","CS Barrio Mendoza Oeste","Mendoza 4519","Santa Fe","0342-4573367 Centrex 3367","csmendozaoeste@santafe.gov.ar","No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.642796755966","-60.732153420907"
52,"05600401","CS Barrio Mercantil","Poleti 1299","Cañada De Gómez",,"centrosaludmercantil@yahoo.com.ar","No","Provincial","Provincial- Decreto Nacional 939",0126,"Cañada de Gómez","Iriondo","Rosario","-32.80847937755","-61.398076237776"
683,"02800441","CS Barrio Mitre","Colombia y Venezuela","Pavón",,,"No","Municipal","Municipal/Comunal",2490,"Pavón","Constitución","Rosario","-33.24234","-60.40559"
583,"08403643","CS Barrio Mortelari","Pasaje 4 y Alberdi","Villa Gobernador Gálvez","0341-4928802","josebartolucci@hotmail.com","No","Municipal","Municipal/Comunal",0217,"Villa Gobernador Gálvez","Rosario","Rosario","-33.03698","-60.62189"
677,"04201812","CS Barrio Nadal","Zona urbana","Firmat",,,"No","Municipal","Municipal/Comunal",0063,"Firmat","General López","Venado Tuerto","-33.4453","-61.49185"
1312,"07002430","CS Barrio Norte","Entre Ríos 1690","Pilar","03404 -471221","capsbnorte@hotmail.com","No","Provincial","Provincial- Decreto Nacional 939",3155,"Pilar","Las Colonias","Santa Fe","-31.43417","-61.25526"
19,"04900443","CS Barrio Norte","Olessio Nº 25","Reconquista",,,"No","Provincial","Provincial- Decreto Nacional 939",0112,"Reconquista","General Obligado","Reconquista","-29.136571938992","-59.648814038382"
592,"11900483","CS Barrio Norte San Francisco De Asís","C. Alvelo 3780","San Lorenzo","0341-155884789",,"No","Municipal","Municipal/Comunal",0301,"San Lorenzo","San Lorenzo","Rosario","-32.723652155416","-60.739081900654"
375,"09800226","CS Barrio Obrero","Calle 6 Nº 1680","Romang","3482-496009",,"No","Provincial","Dep. de SAMCo.",3715,"Romang","San Javier","Reconquista","-29.50697","-59.74235"
48,"05600281","CS Barrio Parque","Córdoba 23","Cañada De Gómez",,,"No","Provincial","Provincial- Decreto Nacional 939",0126,"Cañada de Gómez","Iriondo","Rosario","-32.818777675913","-61.410136091098"
407,"06309370","CS Barrio Parque","Crucero Belgrano y 12 de Octubre","Recreo","0342-154297725","capsbarrioparque@municipio-recreo.gov.ar","No","Municipal","Municipal/Comunal",0144,"Recreo","La Capital","Santa Fe","-31.528533333","-60.727016667"
235,"09100381","CS Barrio Pellegrini","Bv. Rivadavia 1850","San Cristóbal",,,"No","Municipal","Dep. de SAMCo.",0231,"San Cristóbal","San Cristóbal","Rafaela","-30.299748105203","-61.244686386654"
679,"06309383","CS Barrio Peyrano","B° Peirano s/n","Laguna Paiva",,,"No","Municipal","Municipal/Comunal",0140,"Laguna Paiva","La Capital","Santa Fe","-31.281383333","-60.650316667"
44,"02800476","CS Barrio Raviolo","Cabildo 92","Villa Constitución","Lamar/Samco Villa Constitucion","no","No","Provincial","SAMCo. Ley Provincial 63/12",0056,"Villa Constitución","Constitución","Rosario","-33.23041642784","-60.350883602144"
297,"11200163","CS Barrio Reyes","9 de Julio 2518","San Justo","03498-15460745",,"No","Provincial","Dep. de SAMCo.",0259,"San Justo","San Justo","Santa Fe","-30.788588786524","-60.592713856981"
420,"04201413","CS Barrio Rivadavia","26 de Abril","Venado Tuerto","03462-423743",,"No","Municipal","Municipal/Comunal",0077,"Venado Tuerto","General López","Venado Tuerto","-33.748361","-61.985472"
255,"09800129","CS Barrio San Antonio","Vicente Zaspe s/n","San Javier","03405-427040/15619039",,"No","Provincial","Provincial- Decreto Nacional 939",0238,"San Javier","San Javier","Santa Fe","-30.57102","-59.93132"
245,"09100534","CS Barrio San José","Los Lapachos s/n","San Cristóbal",,,"No","Municipal","Dep. de SAMCo.",0231,"San Cristóbal","San Cristóbal","Rafaela","-30.31381","-61.22363"
377,"02101276","CS Barrio San Roque","Calle 94 575","Frontera","03564- 311005 centrex 7645","csanroquefrontera@hotmail.com","No","Provincial","Dep. de SAMCo.",0035,"Frontera","Castellanos","Rafaela","-31.456519201551","-62.048688193571"
898,"04902234","CS Barrio Sur","Chacabuco y J. Bautista Alberdi","Villa Ocampo","03482-469725","capsbarriosur@vocampo.com.ar","No","Provincial","Dep. de SAMCo.",0119,"Villa Ocampo","General Obligado","Reconquista","-28.49525","-59.35177"
91,"06301482","CS Barrio Talleres","Bv. Mitre 3156","Laguna Paiva",,,"No","Provincial","Dep. de SAMCo.",0140,"Laguna Paiva","La Capital","Santa Fe","-31.294250000","-60.654883333"
179,"08401701","CS Barrio Talleres","Sáenz Peña 452","Villa Gobernador Gálvez","0341-4983412",,"No","Provincial","Provincial- Decreto Nacional 939",0217,"Villa Gobernador Gálvez","Rosario","Rosario","-33.017667","-60.612639"
647,"08404364","CS Barrio Toba","Mario Antonio Cisneros 6055","Rosario","0341/4805620",,"No","Municipal","Municipal/Comunal",0210,"Rosario","Rosario","Rosario","-32.98001","-60.70127"
572,"02800409","CS Barrio Troilo","Bo. Troilo","Villa Constitución","03461-15354697","marianamigliavaca@hotmail.com","No","Municipal","Municipal/Comunal",0056,"Villa Constitución","Constitución","Rosario","-33.24589","-60.3267"
148,"07000613","CS Barrio Unidos","Perú 709","Esperanza","03496-428610 centrex 4370",,"No","Provincial","Dep. de SAMCo.",0161,"Esperanza","Las Colonias","Santa Fe","-31.452341249113","-60.904691502125"
96,"06301628","CS Barrio Villa Hipódromo","Blas Parera 5110","Santa Fe","0342 - 4579279 ctx 9279","capshipodromo@yahoo.com.ar","No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.616861010288","-60.717817478091"
463,"02100601","CS Barrio Villani","Calle 100 7","Frontera","03564 311001",,"No","Municipal","Dep. de SAMCo.",0035,"Frontera","Castellanos","Rafaela","-31.440485297532","-62.069079055912"
398,"04900761","CS Barrio Virgen De Guadalupe","M 10 B° Guadalupe","Reconquista","03482-15551426",,"No","Provincial","Provincial- Decreto Nacional 939",0112,"Reconquista","General Obligado","Reconquista","-29.16134","-59.67913"
82,"06300532","CS Barrio Yapeyu","Av. 12 de Octubre 9711","Santa Fe","0342-4579138","capsyapeyu@hotmail.com","No","Provincial","Provincial- Decreto Nacional 939",0147,"Santa Fe","La Capital","Santa Fe","-31.567342141014","-60.73902700813"
22,"04900532","CS Barros Pazos","Zona rural","Barros Pazos","03482-15614256",,"No","Provincial","Provincial- Decreto Nacional 939",0112,"Reconquista","General Obligado","Reconquista","-29.18951","-59.73052"
597,"11900530","CS Bartolomé Mitre","Carugatti y Rivadavia","San Lorenzo","03476-432916",,"No","Municipal","Municipal/Comunal",0301,"San Lorenzo","San Lorenzo","Rosario","-32.74855","-60.75437"
